OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41306,2016,CA,CDF,AEU,SCOTT,,,,14,,,86.69641113,1,1,,573929.95583366,4668.88469766244
41307,2016,CA,CDF,AEU,STORKSBILL,020505,2016/07/22 00:00:00+00,2016/07/24 00:00:00+00,2,,49,49.23259354,1,1,,328440.835610845,3023.81668481689
41308,2016,CA,CDF,AEU,HOYA,23367,2016/08/15 00:00:00+00,2016/08/15 00:00:00+00,2,,23,22.55442619,1,1,,148311.65815904,2677.92306772215
41309,2016,CA,CDF,AEU,BELL,,,,14,,,45.81971359,1,1,,303401.297995305,2927.88100698916
41310,2016,CA,CDF,AEU,WILLOW,025046,2016/08/30 00:00:00+00,2016/08/30 00:00:00+00,10,,18,18.02715111,1,1,,118951.09669139,1787.42159924709
41311,2016,CA,CDF,AEU,BOYS,026290,2016/09/11 00:00:00+00,2016/09/11 00:00:00+00,2,,40,40.22324753,1,1,,266590.63956615,3523.23279165782
41312,2016,CA,CDF,AEU,CLAY,014781,2016/06/03 00:00:00+00,2016/06/03 00:00:00+00,2,,32,31.77723885,1,1,,209147.62301438,1895.35700448123
41313,2016,CA,CDF,AEU,STONY,018144,2016/07/02 00:00:00+00,2016/07/02 00:00:00+00,9,,15,15.12719536,1,1,,99556.494319335,1885.82827569918
41397,2016,CA,NPS,YNP,CRANE,000023,2016/06/12 00:00:00+00,2016/06/12 00:00:00+00,1,,0.07940403,0.07940403,8,1,,514.902640815,81.3750028399309
41398,2016,CA,NPS,YNP,HAZEL,000024,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,1,,0.07935332,0.07935333,8,1,,515.203784185,81.4031676540714
41399,2016,CA,NPS,YNP,STAND BY,000025,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,1,,0.07937318,0.07937318,8,1,,515.094106295,81.3928454615403
41400,2016,CA,NPS,YNP,CREEK,000026,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,1,,0.07937925,0.07937925,8,1,,515.05662236,81.3893637466831
41401,2016,CA,NPS,YNP,WEST,000029,2016/06/17 00:00:00+00,2016/06/20 00:00:00+00,14,,0.07944325,0.07944325,8,1,,514.77778245,81.3624961542982
41402,2016,CA,NPS,YNP,CURRY,000035,2016/06/21 00:00:00+00,2016/06/21 00:00:00+00,14,,0.07943535,0.07943536,8,1,,514.86887027,81.3706828735333
41403,2016,CA,NPS,YNP,TAFT,000053,2016/07/11 00:00:00+00,2016/07/11 00:00:00+00,14,,0.07946443,0.07946444,8,1,,514.66648854,81.3519636451566
41404,2016,CA,NPS,YNP,ASH,000061,2016/07/20 00:00:00+00,2016/07/20 00:00:00+00,14,,0.07946119,0.07946119,8,1,,514.58782069,81.3453583235463
41405,2016,CA,NPS,YNP,POWERLINE,000066,2016/07/24 00:00:00+00,2016/07/24 00:00:00+00,14,,0.07963286,0.07963286,8,1,,513.56020258,81.24937971351
41406,2016,CA,NPS,YNP,SUMMIT,000069,2016/07/28 00:00:00+00,2016/07/28 00:00:00+00,14,,0.07949998,0.07949998,8,1,,514.40286212,81.3277544598691
41407,2016,CA,NPS,YNP,CLOUDS REST,000075,2016/07/30 00:00:00+00,2016/07/31 00:00:00+00,14,,0.07942888,0.07942887,8,1,,514.94546483,81.377571522101
41408,2016,CA,NPS,YNP,LIEDIG,000083,2016/08/06 00:00:00+00,2016/08/06 00:00:00+00,14,,0.07943292,0.07943292,8,1,,514.86403273,81.3703942200611
41409,2016,CA,NPS,YNP,LYELL,000091,2016/08/14 00:00:00+00,2016/08/15 00:00:00+00,14,,0.07941304,0.07941304,8,1,,515.202683175,81.4004071570401
41410,2016,CA,NPS,YNP,DEWEY,000103,2016/09/01 00:00:00+00,2016/09/01 00:00:00+00,14,,0.23813617,0.23813617,8,1,,1542.18367921,140.822276020139
41411,2016,CA,NPS,YNP,SNOW CREEK,000106,2016/09/05 00:00:00+00,2016/09/05 00:00:00+00,14,,0.07939906,0.07939906,8,1,,515.12072051,81.3939784474335
